Player,Age,Passport country,Position,League,Minutes played,Assists per 90,Back passes per 90,Crosses per 90,Crosses to goalie box per 90,Deep completed crosses per 90,Deep completions per 90,Defensive duels per 90,Dribbles per 90,Duels per 90,Forward passes per 90,Goals,Goals per 90,Interceptions per 90,Key passes per 90,Long passes per 90,Matches played,Passes per 90,Passes to final third per 90,Passes to penalty area per 90,Progressive passes per 90,Progressive runs per 90,Received long passes per 90,Received passes per 90,Second assists per 90,Shot assists per 90,Shots blocked per 90,Shots per 90,Sliding tackles per 90,Successful attacking actions per 90,Successful defensive actions per 90,Through passes per 90,Touches in box per 90,xA,xA per 90,xG,xG per 90
W. Togui,26,Côte d'Ivoire,CF,Ligat Haal,2060,0.09,5.42,0.26,0,0.09,0.39,3.01,1.75,18.87,2.27,3,0.13,1.35,0.17,0.7,30,17,1.22,0.44,1.44,0.35,1.53,12.36,0,0.22,0.09,2.01,0.09,1.4,3.15,0.13,3.36,1.28,0.06,8.18,0.36
E. Baldé,23,"Guinea-Bissau, Portugal","RW, CF, RAMF",Portugal 2,833,0.22,3.46,3.13,0.32,0.97,0.76,4.75,6.16,21.18,5.83,3,0.32,1.51,0.76,1.08,19,18.91,1.84,3.24,3.57,2.48,1.73,13.29,0,1.08,0.11,3.46,0.11,4.86,3.89,0.22,1.94,1.27,0.14,1.67,0.18
V. Simić,28,Serbia,"AMF, CF, LW",Serbia 1,2198,0.09,5.89,1.24,0.17,0.6,1.37,4.35,3.16,15.23,5.55,7,0.29,2.26,0.6,1.19,29,24.32,2.39,2.13,3.03,1.92,0.94,17.92,0,0.94,0.09,1.83,0.26,3.37,5.08,0.3,3.76,3.02,0.13,7.4,0.32
A. Lyaskov,25,Bulgaria,LB,Bulgaria 1,1474,0.13,6.83,2.86,0.2,1.37,0.33,9.49,1.37,18.21,20.09,0,0,5.07,0.52,5.46,23,44.22,7.54,3.32,11.9,0.85,2.08,30.24,0.07,0.78,0.2,0,0.39,2.02,11.38,0.78,0.85,1.31,0.09,0,0
S. Slavchev,29,Bulgaria,"RCMF, LCMF",Bulgaria 1,1481,0.12,3.34,0.85,0.12,0.24,0.73,6.87,1.64,17.81,11.79,0,0,4.25,0.24,3.65,16,27.53,5.89,2.25,6.38,0.79,0.79,14.52,0,0.49,0.3,0.67,2.67,1.88,11.42,0.85,1.03,0.77,0.05,1.18,0.07
D. Toma,23,Romania,"RCMF, LCMF",Romania 1,972,0.19,6.2,1.3,0.09,0.28,0.56,10.19,1.48,21.94,11.2,0,0,5,0.28,1.94,22,35.37,4.91,1.76,5.19,0.93,0.19,23.61,0,0.46,0.09,0.37,0.93,1.11,11.39,0.74,0.74,0.69,0.06,0.13,0.01
Portu,30,Spain,"LB, RB, RW",Spain 1,1426,0.13,6,4.23,0.63,1.58,0.76,6.63,3.22,18.62,9.34,0,0,3.41,0.5,2.34,25,28.65,3.35,3.28,6.75,2.08,2.46,18.74,0,1.26,0.06,0.63,0.44,3.66,7.7,0.25,1.33,1.31,0.08,0.54,0.03
M. Desler,28,Denmark,RB,France 1,1952,0.09,9.68,1.71,0.28,0.46,0.65,8.99,1.2,19.04,17.61,1,0.05,4.75,0.18,2.72,22,47.58,5.3,1.89,7.15,1.61,4.15,37.07,0.05,0.32,0.14,0.51,0.28,1.43,10.6,0.51,1.15,1.33,0.06,0.95,0.04
A. Bangura,23,"Sierra Leone, Netherlands",LB,Holland 1,2121,0.08,5.94,2.25,0.3,0.55,0.55,7.72,2.16,17.52,13.71,1,0.04,3.9,0.38,5.39,23,36.58,3.95,2.08,7.55,2.67,1.91,24.87,0.04,0.42,0.17,0.34,0.17,2.04,8.7,0.51,0.93,1.86,0.08,0.82,0.03
F. Moufi,27,"France, Morocco","RB, RWB",Portugal 1,2883,0.06,7.46,3.9,0.56,1.25,0.37,6.15,2.47,18.67,10.43,1,0.03,4.43,0.62,4.15,31,32.47,3.75,3.18,6.49,1,2.62,23.19,0,0.94,0.5,0.47,0.44,3.06,8.62,0.47,1.47,2.96,0.09,1.46,0.05
